,Date,sulfate,nitrate,ID
0,2008-01-01,,,159
1,2008-01-02,,,159
2,2008-01-03,,,159
3,2008-01-04,,,159
4,2008-01-05,,,159
5,2008-01-06,,,159
6,2008-01-07,,,159
7,2008-01-08,,,159
8,2008-01-09,,,159
9,2008-01-10,,,159
10,2008-01-11,,,159
11,2008-01-12,,,159
12,2008-01-13,,,159
13,2008-01-14,,,159
14,2008-01-15,,,159
15,2008-01-16,,,159
16,2008-01-17,,,159
17,2008-01-18,,,159
18,2008-01-19,,,159
19,2008-01-20,,,159
20,2008-01-21,,,159
21,2008-01-22,,,159
22,2008-01-23,,,159
23,2008-01-24,,,159
24,2008-01-25,,,159
25,2008-01-26,,,159
26,2008-01-27,,,159
27,2008-01-28,,,159
28,2008-01-29,,,159
29,2008-01-30,,,159
30,2008-01-31,,,159
31,2008-02-01,,,159
32,2008-02-02,,,159
33,2008-02-03,,,159
34,2008-02-04,,,159
35,2008-02-05,,,159
36,2008-02-06,,,159
37,2008-02-07,,,159
38,2008-02-08,,,159
39,2008-02-09,,,159
40,2008-02-10,,,159
41,2008-02-11,,,159
42,2008-02-12,,,159
43,2008-02-13,,,159
44,2008-02-14,,,159
45,2008-02-15,,,159
46,2008-02-16,,,159
47,2008-02-17,,,159
48,2008-02-18,,,159
49,2008-02-19,,,159
50,2008-02-20,,,159
51,2008-02-21,,,159
52,2008-02-22,,,159
53,2008-02-23,,,159
54,2008-02-24,,,159
55,2008-02-25,,,159
56,2008-02-26,,,159
57,2008-02-27,,,159
58,2008-02-28,,,159
59,2008-02-29,,,159
60,2008-03-01,,,159
61,2008-03-02,,,159
62,2008-03-03,,,159
63,2008-03-04,,,159
64,2008-03-05,,,159
65,2008-03-06,,,159
66,2008-03-07,,,159
67,2008-03-08,,,159
68,2008-03-09,,,159
69,2008-03-10,,,159
70,2008-03-11,,,159
71,2008-03-12,,,159
72,2008-03-13,,,159
73,2008-03-14,,,159
74,2008-03-15,,,159
75,2008-03-16,,,159
76,2008-03-17,,,159
77,2008-03-18,,,159
78,2008-03-19,,,159
79,2008-03-20,,,159
80,2008-03-21,,,159
81,2008-03-22,,,159
82,2008-03-23,,,159
83,2008-03-24,,,159
84,2008-03-25,,,159
85,2008-03-26,,,159
86,2008-03-27,,,159
87,2008-03-28,,,159
88,2008-03-29,,,159
89,2008-03-30,,,159
90,2008-03-31,,,159
91,2008-04-01,,,159
92,2008-04-02,,,159
93,2008-04-03,,,159
94,2008-04-04,,,159
95,2008-04-05,,,159
96,2008-04-06,,,159
97,2008-04-07,,,159
98,2008-04-08,,,159
99,2008-04-09,,,159
100,2008-04-10,,,159
101,2008-04-11,,,159
102,2008-04-12,,,159
103,2008-04-13,,,159
104,2008-04-14,,,159
105,2008-04-15,,,159
106,2008-04-16,,,159
107,2008-04-17,,,159
108,2008-04-18,,,159
109,2008-04-19,,,159
110,2008-04-20,,,159
111,2008-04-21,,,159
112,2008-04-22,,,159
113,2008-04-23,,,159
114,2008-04-24,,,159
115,2008-04-25,,,159
116,2008-04-26,,,159
117,2008-04-27,,,159
118,2008-04-28,,,159
119,2008-04-29,,,159
120,2008-04-30,,,159
121,2008-05-01,,,159
122,2008-05-02,,,159
123,2008-05-03,,,159
124,2008-05-04,,,159
125,2008-05-05,,,159
126,2008-05-06,,,159
127,2008-05-07,,,159
128,2008-05-08,,,159
129,2008-05-09,,,159
130,2008-05-10,,,159
131,2008-05-11,,,159
132,2008-05-12,,,159
133,2008-05-13,,,159
134,2008-05-14,,,159
135,2008-05-15,,,159
136,2008-05-16,,,159
137,2008-05-17,,,159
138,2008-05-18,,,159
139,2008-05-19,,,159
140,2008-05-20,,,159
141,2008-05-21,,,159
142,2008-05-22,,,159
143,2008-05-23,,,159
144,2008-05-24,,,159
145,2008-05-25,,,159
146,2008-05-26,,,159
147,2008-05-27,,,159
148,2008-05-28,,,159
149,2008-05-29,,,159
150,2008-05-30,,,159
151,2008-05-31,,,159
152,2008-06-01,,,159
153,2008-06-02,,,159
154,2008-06-03,,,159
155,2008-06-04,,,159
156,2008-06-05,,,159
157,2008-06-06,,,159
158,2008-06-07,,,159
159,2008-06-08,,,159
160,2008-06-09,,,159
161,2008-06-10,,,159
162,2008-06-11,,,159
163,2008-06-12,,,159
164,2008-06-13,,,159
165,2008-06-14,,,159
166,2008-06-15,,,159
167,2008-06-16,,,159
168,2008-06-17,,,159
169,2008-06-18,,,159
170,2008-06-19,,,159
171,2008-06-20,,,159
172,2008-06-21,,,159
173,2008-06-22,,,159
174,2008-06-23,,,159
175,2008-06-24,,,159
176,2008-06-25,,,159
177,2008-06-26,,,159
178,2008-06-27,,,159
179,2008-06-28,,,159
180,2008-06-29,,,159
181,2008-06-30,,,159
182,2008-07-01,,,159
183,2008-07-02,,,159
184,2008-07-03,,,159
185,2008-07-04,,,159
186,2008-07-05,,,159
187,2008-07-06,,,159
188,2008-07-07,,,159
189,2008-07-08,,,159
190,2008-07-09,,,159
191,2008-07-10,,,159
192,2008-07-11,,,159
193,2008-07-12,,,159
194,2008-07-13,,,159
195,2008-07-14,,,159
196,2008-07-15,,,159
197,2008-07-16,,,159
198,2008-07-17,,,159
199,2008-07-18,,,159
200,2008-07-19,,,159
201,2008-07-20,,,159
202,2008-07-21,,,159
203,2008-07-22,,,159
204,2008-07-23,,,159
205,2008-07-24,,,159
206,2008-07-25,,,159
207,2008-07-26,,,159
208,2008-07-27,,,159
209,2008-07-28,,,159
210,2008-07-29,,,159
211,2008-07-30,,,159
212,2008-07-31,,,159
213,2008-08-01,,,159
214,2008-08-02,,,159
215,2008-08-03,,,159
216,2008-08-04,,,159
217,2008-08-05,,,159
218,2008-08-06,,,159
219,2008-08-07,,,159
220,2008-08-08,,,159
221,2008-08-09,,,159
222,2008-08-10,,,159
223,2008-08-11,,,159
224,2008-08-12,,,159
225,2008-08-13,,,159
226,2008-08-14,,,159
227,2008-08-15,,,159
228,2008-08-16,,,159
229,2008-08-17,,,159
230,2008-08-18,,,159
231,2008-08-19,,,159
232,2008-08-20,,,159
233,2008-08-21,,,159
234,2008-08-22,,,159
235,2008-08-23,,,159
236,2008-08-24,,,159
237,2008-08-25,,,159
