,Unnamed: 0,Date,sulfate,nitrate,ID
0,0,2003-01-01,,,332
1,1,2003-01-02,,,332
2,2,2003-01-03,,,332
3,3,2003-01-04,,,332
4,4,2003-01-05,,,332
5,5,2003-01-06,,,332
6,6,2003-01-07,,,332
7,7,2003-01-08,,,332
8,8,2003-01-09,,,332
9,9,2003-01-10,,,332
10,10,2003-01-11,,,332
11,11,2003-01-12,,,332
12,12,2003-01-13,,,332
13,13,2003-01-14,,,332
14,14,2003-01-15,,,332
15,15,2003-01-16,,,332
16,16,2003-01-17,,,332
17,17,2003-01-18,,,332
18,18,2003-01-19,,,332
19,19,2003-01-20,,,332
20,20,2003-01-21,,,332
21,21,2003-01-22,,,332
22,22,2003-01-23,,,332
23,23,2003-01-24,,,332
24,24,2003-01-25,,,332
25,25,2003-01-26,,,332
26,26,2003-01-27,,,332
27,27,2003-01-28,,,332
28,28,2003-01-29,,,332
29,29,2003-01-30,,,332
30,30,2003-01-31,,,332
31,31,2003-02-01,,,332
32,32,2003-02-02,,,332
33,33,2003-02-03,,,332
34,34,2003-02-04,,,332
35,35,2003-02-05,,,332
36,36,2003-02-06,,,332
37,37,2003-02-07,,,332
38,38,2003-02-08,,,332
39,39,2003-02-09,,,332
40,40,2003-02-10,,,332
41,41,2003-02-11,,,332
42,42,2003-02-12,,,332
43,43,2003-02-13,,,332
44,44,2003-02-14,,,332
45,45,2003-02-15,,,332
46,46,2003-02-16,,,332
47,47,2003-02-17,,,332
48,48,2003-02-18,,,332
49,49,2003-02-19,,,332
50,50,2003-02-20,,,332
51,51,2003-02-21,,,332
52,52,2003-02-22,,,332
53,53,2003-02-23,,,332
54,54,2003-02-24,,,332
55,55,2003-02-25,,,332
56,56,2003-02-26,,,332
57,57,2003-02-27,,,332
58,58,2003-02-28,,,332
59,59,2003-03-01,,,332
60,60,2003-03-02,,,332
61,61,2003-03-03,,,332
62,62,2003-03-04,,,332
63,63,2003-03-05,,,332
64,64,2003-03-06,,,332
65,65,2003-03-07,,,332
66,66,2003-03-08,,,332
67,67,2003-03-09,,,332
68,68,2003-03-10,,,332
69,69,2003-03-11,,,332
70,70,2003-03-12,,,332
71,71,2003-03-13,,,332
72,72,2003-03-14,,,332
73,73,2003-03-15,,,332
74,74,2003-03-16,,,332
75,75,2003-03-17,,,332
76,76,2003-03-18,,,332
77,77,2003-03-19,,,332
78,78,2003-03-20,,,332
79,79,2003-03-21,,,332
80,80,2003-03-22,,,332
81,81,2003-03-23,,,332
82,82,2003-03-24,,,332
83,83,2003-03-25,,,332
84,84,2003-03-26,,,332
85,85,2003-03-27,,,332
86,86,2003-03-28,,,332
87,87,2003-03-29,,,332
88,88,2003-03-30,,,332
89,89,2003-03-31,,,332
90,90,2003-04-01,,,332
91,91,2003-04-02,,,332
92,92,2003-04-03,,,332
93,93,2003-04-04,,,332
94,94,2003-04-05,,,332
95,95,2003-04-06,,,332
96,96,2003-04-07,,,332
97,97,2003-04-08,,,332
98,98,2003-04-09,,,332
99,99,2003-04-10,,,332
100,100,2003-04-11,,,332
101,101,2003-04-12,,,332
102,102,2003-04-13,,,332
103,103,2003-04-14,,,332
104,104,2003-04-15,,,332
105,105,2003-04-16,,,332
106,106,2003-04-17,,,332
107,107,2003-04-18,,,332
108,108,2003-04-19,,,332
109,109,2003-04-20,,,332
110,110,2003-04-21,,,332
111,111,2003-04-22,,,332
112,112,2003-04-23,,,332
113,113,2003-04-24,,,332
114,114,2003-04-25,,,332
115,115,2003-04-26,,,332
116,116,2003-04-27,,,332
117,117,2003-04-28,,,332
118,118,2003-04-29,,,332
119,119,2003-04-30,,,332
120,120,2003-05-01,,,332
121,121,2003-05-02,,,332
122,122,2003-05-03,,,332
123,123,2003-05-04,,,332
124,124,2003-05-05,,,332
125,125,2003-05-06,,,332
126,126,2003-05-07,,,332
127,127,2003-05-08,,,332
128,128,2003-05-09,,,332
129,129,2003-05-10,,,332
130,130,2003-05-11,,,332
131,131,2003-05-12,,,332
132,132,2003-05-13,,,332
133,133,2003-05-14,,,332
134,134,2003-05-15,,,332
135,135,2003-05-16,,,332
136,136,2003-05-17,,,332
137,137,2003-05-18,,,332
138,138,2003-05-19,,,332
139,139,2003-05-20,,,332
140,140,2003-05-21,,,332
141,141,2003-05-22,,,332
142,142,2003-05-23,,,332
143,143,2003-05-24,,,332
144,144,2003-05-25,,,332
145,145,2003-05-26,,,332
146,146,2003-05-27,,,332
147,147,2003-05-28,,,332
148,148,2003-05-29,,,332
149,149,2003-05-30,,,332
150,150,2003-05-31,,,332
151,151,2003-06-01,,,332
152,152,2003-06-02,,,332
153,153,2003-06-03,,,332
154,154,2003-06-04,,,332
155,155,2003-06-05,,,332
156,156,2003-06-06,,,332
157,157,2003-06-07,,,332
158,158,2003-06-08,,,332
159,159,2003-06-09,,,332
160,160,2003-06-10,,,332
161,161,2003-06-11,,,332
162,162,2003-06-12,,,332
163,163,2003-06-13,,,332
164,164,2003-06-14,,,332
165,165,2003-06-15,,,332
166,166,2003-06-16,,,332
167,167,2003-06-17,,,332
168,168,2003-06-18,,,332
169,169,2003-06-19,,,332
170,170,2003-06-20,,,332
171,171,2003-06-21,,,332
172,172,2003-06-22,,,332
173,173,2003-06-23,,,332
174,174,2003-06-24,,,332
175,175,2003-06-25,,,332
176,176,2003-06-26,,,332
177,177,2003-06-27,,,332
178,178,2003-06-28,,,332
179,179,2003-06-29,,,332
180,180,2003-06-30,,,332
181,181,2003-07-01,,,332
182,182,2003-07-02,,,332
183,183,2003-07-03,,,332
184,184,2003-07-04,,,332
185,185,2003-07-05,,,332
186,186,2003-07-06,,,332
187,187,2003-07-07,,,332
188,188,2003-07-08,,,332
189,189,2003-07-09,,,332
190,190,2003-07-10,,,332
191,191,2003-07-11,,,332
192,192,2003-07-12,,,332
193,193,2003-07-13,,,332
194,194,2003-07-14,,,332
195,195,2003-07-15,,,332
196,196,2003-07-16,,,332
197,197,2003-07-17,,,332
198,198,2003-07-18,,,332
199,199,2003-07-19,,,332
200,200,2003-07-20,,,332
201,201,2003-07-21,,,332
202,202,2003-07-22,,,332
203,203,2003-07-23,,,332
204,204,2003-07-24,,,332
205,205,2003-07-25,,,332
206,206,2003-07-26,,,332
207,207,2003-07-27,,,332
208,208,2003-07-28,,,332
209,209,2003-07-29,,,332
