,Date,sulfate,nitrate,ID
0,2006-01-01,,,71
1,2006-01-02,,,71
2,2006-01-03,,,71
3,2006-01-04,,,71
4,2006-01-05,,,71
5,2006-01-06,,,71
6,2006-01-07,,,71
7,2006-01-08,,,71
8,2006-01-09,,,71
9,2006-01-10,,,71
10,2006-01-11,,,71
11,2006-01-12,,,71
12,2006-01-13,,,71
13,2006-01-14,,,71
14,2006-01-15,,,71
15,2006-01-16,,,71
16,2006-01-17,,,71
17,2006-01-18,,,71
18,2006-01-19,,,71
19,2006-01-20,,,71
20,2006-01-21,,,71
21,2006-01-22,,,71
22,2006-01-23,,,71
23,2006-01-24,,,71
24,2006-01-25,,,71
25,2006-01-26,,,71
26,2006-01-27,,,71
27,2006-01-28,,,71
28,2006-01-29,,,71
29,2006-01-30,,,71
30,2006-01-31,,,71
31,2006-02-01,,,71
32,2006-02-02,,,71
33,2006-02-03,,,71
34,2006-02-04,,,71
35,2006-02-05,,,71
36,2006-02-06,,,71
37,2006-02-07,,,71
38,2006-02-08,,,71
39,2006-02-09,,,71
40,2006-02-10,,,71
41,2006-02-11,,,71
42,2006-02-12,,,71
43,2006-02-13,,,71
44,2006-02-14,,,71
45,2006-02-15,,,71
46,2006-02-16,,,71
47,2006-02-17,,,71
48,2006-02-18,,,71
49,2006-02-19,,,71
50,2006-02-20,,,71
51,2006-02-21,,,71
52,2006-02-22,,,71
53,2006-02-23,,,71
54,2006-02-24,,,71
55,2006-02-25,,,71
56,2006-02-26,,,71
57,2006-02-27,,,71
58,2006-02-28,,,71
59,2006-03-01,,,71
60,2006-03-02,,,71
61,2006-03-03,,,71
62,2006-03-04,,,71
63,2006-03-05,,,71
64,2006-03-06,,,71
65,2006-03-07,,,71
66,2006-03-08,,,71
67,2006-03-09,,,71
68,2006-03-10,,,71
69,2006-03-11,,,71
70,2006-03-12,,,71
71,2006-03-13,,,71
72,2006-03-14,,,71
73,2006-03-15,,,71
74,2006-03-16,,,71
75,2006-03-17,,,71
76,2006-03-18,,,71
77,2006-03-19,,,71
78,2006-03-20,,,71
79,2006-03-21,,,71
80,2006-03-22,,,71
81,2006-03-23,,,71
82,2006-03-24,,,71
83,2006-03-25,,,71
84,2006-03-26,,,71
85,2006-03-27,,,71
86,2006-03-28,,,71
87,2006-03-29,,,71
88,2006-03-30,,,71
89,2006-03-31,,,71
90,2006-04-01,,,71
91,2006-04-02,,,71
92,2006-04-03,,,71
93,2006-04-04,,,71
94,2006-04-05,,,71
95,2006-04-06,,,71
96,2006-04-07,,,71
97,2006-04-08,,,71
98,2006-04-09,,,71
99,2006-04-10,,,71
100,2006-04-11,,,71
101,2006-04-12,,,71
102,2006-04-13,,,71
103,2006-04-14,,,71
104,2006-04-15,,,71
105,2006-04-16,,,71
106,2006-04-17,,,71
107,2006-04-18,,,71
108,2006-04-19,,,71
109,2006-04-20,,,71
110,2006-04-21,,,71
111,2006-04-22,,,71
112,2006-04-23,,,71
113,2006-04-24,,,71
114,2006-04-25,,,71
115,2006-04-26,,,71
116,2006-04-27,,,71
117,2006-04-28,,,71
118,2006-04-29,,,71
119,2006-04-30,,,71
120,2006-05-01,,,71
121,2006-05-02,,,71
122,2006-05-03,,,71
123,2006-05-04,,,71
124,2006-05-05,,,71
125,2006-05-06,,,71
126,2006-05-07,,,71
127,2006-05-08,,,71
128,2006-05-09,,,71
129,2006-05-10,,,71
130,2006-05-11,,,71
131,2006-05-12,,,71
132,2006-05-13,,,71
133,2006-05-14,,,71
134,2006-05-15,,,71
135,2006-05-16,,,71
136,2006-05-17,,,71
137,2006-05-18,,,71
138,2006-05-19,,,71
139,2006-05-20,,,71
140,2006-05-21,,,71
141,2006-05-22,,,71
142,2006-05-23,,,71
143,2006-05-24,,,71
144,2006-05-25,,,71
145,2006-05-26,,,71
146,2006-05-27,,,71
147,2006-05-28,,,71
148,2006-05-29,,,71
149,2006-05-30,,,71
150,2006-05-31,,,71
151,2006-06-01,,,71
152,2006-06-02,,,71
153,2006-06-03,,,71
154,2006-06-04,,,71
155,2006-06-05,,,71
156,2006-06-06,,,71
157,2006-06-07,,,71
158,2006-06-08,,,71
159,2006-06-09,,,71
160,2006-06-10,,,71
161,2006-06-11,,,71
162,2006-06-12,,,71
163,2006-06-13,,,71
164,2006-06-14,,,71
165,2006-06-15,,,71
166,2006-06-16,,,71
167,2006-06-17,,,71
168,2006-06-18,,,71
169,2006-06-19,,,71
170,2006-06-20,,,71
171,2006-06-21,,,71
172,2006-06-22,,,71
173,2006-06-23,,,71
174,2006-06-24,,,71
175,2006-06-25,,,71
176,2006-06-26,,,71
177,2006-06-27,,,71
178,2006-06-28,,,71
179,2006-06-29,,,71
180,2006-06-30,,,71
181,2006-07-01,1.05,0.841,71
182,2006-07-02,,,71
183,2006-07-03,,,71
184,2006-07-04,,,71
185,2006-07-05,,,71
186,2006-07-06,,,71
187,2006-07-07,,,71
188,2006-07-08,,,71
189,2006-07-09,,,71
190,2006-07-10,,,71
191,2006-07-11,,,71
192,2006-07-12,,,71
193,2006-07-13,0.329,0.144,71
194,2006-07-14,,,71
195,2006-07-15,,,71
196,2006-07-16,0.589,0.239,71
197,2006-07-17,,,71
198,2006-07-18,,,71
199,2006-07-19,0.483,0.292,71
200,2006-07-20,,,71
201,2006-07-21,,,71
202,2006-07-22,0.692,0.251,71
203,2006-07-23,,,71
204,2006-07-24,,,71
205,2006-07-25,0.709,0.234,71
206,2006-07-26,,,71
207,2006-07-27,,,71
208,2006-07-28,,,71
209,2006-07-29,,,71
210,2006-07-30,,,71
211,2006-07-31,,,71
212,2006-08-01,,,71
213,2006-08-02,,,71
214,2006-08-03,0.44,0.468,71
